# gitter v1.0.3 data file generated on Wed Feb 25 11:12:50 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	757	0.8982	
1	2	816	0.936	
1	3	0	NA	
1	4	0	NA	
1	5	958	0.9117	
1	6	822	0.9037	
1	7	962	0.8659	
1	8	1017	0.9143	
1	9	964	0.9268	
1	10	1001	0.9351	
1	11	1047	0.8928	
1	12	1147	0.9096	
1	13	1030	0.8904	
1	14	955	0.8621	
1	15	979	0.8026	
1	16	1042	0.8682	
1	17	578	0.9594	
1	18	563	0.9098	
1	19	1158	0.8884	
1	20	1026	0.9081	
1	21	1080	0.9085	
1	22	1062	0.8431	
1	23	976	0.9117	
1	24	1057	0.9227	
1	25	1091	0.8968	
1	26	1022	0.9319	
1	27	994	0.9101	
1	28	1103	0.8863	
1	29	1010	0.9435	
1	30	1077	0.9184	
1	31	1035	0.8428	
1	32	1082	0.8534	
1	33	1039	0.874	
1	34	1181	0.8564	
1	35	23	1.0635	
1	36	58	0.9203	
1	37	1079	0.8704	
1	38	1144	0.8522	
1	39	980	0.8724	
1	40	1098	0.9363	
1	41	976	0.9117	
1	42	1083	0.9324	
1	43	950	0.8374	
1	44	996	0.8331	
1	45	284	0.8545	S
1	46	673	0.9554	
1	47	397	0.9359	
1	48	1678	0.9054	
2	1	698	0.9117	
2	2	916	0.9316	
2	3	0	NA	
2	4	0	NA	
2	5	704	0.9467	
2	6	768	0.8768	
2	7	931	0.8489	
2	8	717	0.8746	
2	9	871	0.8992	
2	10	741	0.79	
2	11	804	0.8839	
2	12	856	0.823	
2	13	727	0.8725	
2	14	603	0.9099	
2	15	866	0.8835	
2	16	866	0.8716	
2	17	462	0.8474	
2	18	369	0.9107	
2	19	914	0.7772	
2	20	802	0.926	
2	21	793	0.8775	
2	22	747	0.9008	
2	23	787	0.8176	
2	24	647	0.9119	
2	25	929	0.9213	
2	26	891	0.9397	
2	27	777	0.9478	
2	28	902	0.9174	
2	29	912	0.8859	
2	30	820	0.9362	
2	31	845	0.9248	
2	32	1054	0.9201	
2	33	1005	0.8983	
2	34	1007	0.879	
2	35	16	0.5077	C
2	36	30	0.7572	
2	37	932	0.8832	
2	38	992	0.9008	
2	39	977	0.9165	
2	40	800	0.9385	
2	41	841	0.9348	
2	42	835	0.8846	
2	43	789	0.9318	
2	44	799	0.8841	
2	45	706	0.8772	
2	46	783	0.91	
2	47	1095	0.8799	
2	48	929	0.8894	
3	1	836	0.8913	
3	2	537	0.921	
3	3	1115	0.8315	
3	4	1050	0.8584	
3	5	724	0.9235	
3	6	745	0.9238	
3	7	592	0.776	
3	8	513	0.8515	
3	9	702	0.8105	
3	10	747	0.9218	
3	11	604	0.8999	
3	12	710	0.8864	
3	13	1	Inf	
3	14	94	0.9794	
3	15	866	0.9134	
3	16	855	0.8568	
3	17	0	NA	
3	18	0	NA	
3	19	824	0.8785	
3	20	821	0.8439	
3	21	728	0.7644	
3	22	713	0.8517	
3	23	724	0.8832	
3	24	824	0.9059	
3	25	717	0.8411	
3	26	771	0.9253	
3	27	779	0.8812	
3	28	754	0.8989	
3	29	0	NA	
3	30	0	NA	
3	31	677	0.9104	
3	32	857	0.8755	
3	33	0	NA	
3	34	0	NA	
3	35	707	0.8526	
3	36	733	0.9622	
3	37	373	0.9982	
3	38	552	0.8707	
3	39	0	NA	
3	40	242	0.9767	S
3	41	886	0.8482	
3	42	795	0.8837	
3	43	870	0.8415	
3	44	819	0.9104	
3	45	0	NA	
3	46	834	0.8664	
3	47	995	0.8946	
3	48	1135	0.8755	
4	1	434	0.8661	
4	2	785	0.9314	
4	3	956	0.9286	
4	4	801	0.8578	
4	5	755	0.8816	
4	6	623	0.9164	
4	7	515	0.7673	
4	8	186	0.9334	
4	9	678	0.9117	
4	10	678	0.9008	
4	11	576	0.9308	
4	12	625	0.8873	
4	13	0	NA	
4	14	0	NA	
4	15	826	0.8048	
4	16	695	0.8883	
4	17	0	NA	
4	18	4	1.078	
4	19	893	0.9179	
4	20	771	0.8598	
4	21	602	0.8842	
4	22	450	0.9114	
4	23	785	0.8794	
4	24	665	0.9052	
4	25	721	0.7434	
4	26	668	0.858	
4	27	601	0.9236	
4	28	804	0.9036	
4	29	0	NA	
4	30	0	NA	
4	31	697	0.9373	
4	32	581	0.8881	
4	33	319	0.9556	
4	34	0	NA	
4	35	760	0.9018	
4	36	629	0.7438	
4	37	586	0.9366	
4	38	829	0.8838	
4	39	89	0.9932	
4	40	120	0.9807	S
4	41	737	0.9355	
4	42	872	0.944	
4	43	831	0.9136	
4	44	752	0.9546	
4	45	388	0.8531	
4	46	676	0.8342	
4	47	790	0.9164	
4	48	1146	0.9158	
5	1	953	0.9162	
5	2	675	0.9348	
5	3	857	0.9079	
5	4	840	0.8939	
5	5	664	0.9358	
5	6	742	0.8746	
5	7	505	0.9263	
5	8	424	0.9239	
5	9	717	0.9255	
5	10	668	0.8983	
