# gitter v1.0.3 data file generated on Wed Feb 25 11:12:16 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1203	0.9145	
1	2	1035	0.9035	
1	3	998	0.8627	
1	4	1082	0.8164	
1	5	775	0.9345	
1	6	751	0.9161	
1	7	1032	0.9449	
1	8	951	0.9571	
1	9	838	0.7975	
1	10	953	0.8978	
1	11	1055	0.93	
1	12	989	0.8718	
1	13	854	0.9145	
1	14	963	0.9181	
1	15	1092	0.9311	
1	16	1122	0.8918	
1	17	752	0.928	
1	18	900	0.9058	
1	19	1167	0.9036	
1	20	1107	0.8895	
1	21	1015	0.8058	
1	22	1022	0.8835	
1	23	1118	0.9442	
1	24	1271	0.9217	
1	25	0	NA	
1	26	0	NA	
1	27	1124	0.8404	
1	28	1199	0.9129	
1	29	1005	0.911	
1	30	749	0.9554	
1	31	0	NA	
1	32	0	NA	
1	33	1128	0.8734	
1	34	1218	0.8777	
1	35	685	0.9439	
1	36	380	0.9762	
1	37	27	1.1319	
1	38	37	0.9001	
1	39	1107	0.9223	
1	40	1237	0.9369	
1	41	0	NA	
1	42	0	NA	
1	43	1298	0.8911	
1	44	1167	0.9414	
1	45	1137	0.9086	
1	46	927	0.9289	
1	47	791	0.8713	
1	48	1346	0.9128	
2	1	1119	0.936	
2	2	960	0.9097	
2	3	818	0.9489	
2	4	809	0.9092	
2	5	655	0.9299	
2	6	589	0.9646	
2	7	823	0.919	
2	8	843	0.7359	
2	9	768	0.8768	
2	10	949	0.8448	
2	11	899	0.9184	
2	12	899	0.8877	
2	13	883	0.9355	
2	14	684	0.9087	
2	15	894	0.8684	
2	16	843	0.9126	
2	17	644	0.919	
2	18	534	0.9602	
2	19	961	0.9015	
2	20	837	0.9407	
2	21	847	0.8973	
2	22	891	0.8874	
2	23	940	0.9053	
2	24	1010	0.9209	
2	25	0	NA	
2	26	0	NA	
2	27	1061	0.8736	
2	28	1110	0.8871	
2	29	691	0.9406	
2	30	929	0.9408	
2	31	0	NA	
2	32	0	NA	
2	33	1061	0.8756	
2	34	974	0.9137	
2	35	337	0.9402	
2	36	280	0.9873	
2	37	18	0.792	
2	38	27	0.8222	
2	39	1031	0.9307	
2	40	945	0.9371	
2	41	0	NA	
2	42	0	NA	
2	43	885	0.9334	
2	44	1087	0.9232	
2	45	666	0.9291	
2	46	360	0.8407	
2	47	853	0.9336	
2	48	1330	0.8974	
3	1	1282	0.8725	
3	2	978	0.9268	
3	3	641	0.8814	
3	4	737	0.8887	
3	5	619	0.8898	
3	6	781	0.9059	
3	7	728	0.8247	
3	8	678	0.9229	
3	9	849	0.8456	
3	10	848	0.8744	
3	11	776	0.8693	
3	12	692	0.8754	
3	13	751	0.8953	
3	14	677	0.8738	
3	15	768	0.901	
3	16	741	0.91	
3	17	867	0.8336	
3	18	826	0.8942	
3	19	504	0.9191	
3	20	508	0.8273	
3	21	42	0.8631	
3	22	272	0.9863	
3	23	918	0.8405	
3	24	943	0.9255	
3	25	897	0.832	
3	26	1038	0.9024	
3	27	799	0.898	
3	28	902	0.9312	
3	29	556	0.9055	
3	30	465	0.8651	
3	31	982	0.8656	
3	32	1039	0.7941	
3	33	0	NA	
3	34	0	NA	
3	35	1051	0.864	
3	36	923	0.8784	
3	37	1065	0.9388	
3	38	1012	0.9009	
3	39	736	0.8498	
3	40	637	0.9043	
3	41	964	0.9135	
3	42	700	0.9144	
3	43	671	0.9023	
3	44	575	0.8789	
3	45	376	0.9129	
3	46	546	0.9134	
3	47	1294	0.9105	
3	48	0	NA	
4	1	1093	0.9448	
4	2	815	0.941	
4	3	861	0.8666	
4	4	932	0.9243	
4	5	756	0.9329	
4	6	784	0.9137	
4	7	823	0.8853	
4	8	509	0.7998	
4	9	794	0.8412	
4	10	751	0.958	
4	11	701	0.9048	
4	12	639	0.9234	
4	13	720	0.8783	
4	14	756	0.8312	
4	15	659	0.924	
4	16	657	0.834	
4	17	653	0.8781	
4	18	742	0.9419	
4	19	441	0.9066	
4	20	416	0.9065	
4	21	328	0.9085	
4	22	330	0.9855	
4	23	867	0.8216	
4	24	889	0.7993	
4	25	693	0.9161	
4	26	854	0.9245	
4	27	724	0.796	
4	28	782	0.8749	
4	29	387	0.8895	
4	30	381	0.8643	
4	31	908	0.8693	
4	32	873	0.9349	
4	33	0	NA	
4	34	0	NA	
4	35	938	0.9262	
4	36	780	0.867	
4	37	898	0.9173	
4	38	738	0.8493	
4	39	858	0.9049	
4	40	602	0.9252	
4	41	839	0.8945	
4	42	586	0.8468	
4	43	629	0.8865	
4	44	804	0.954	
4	45	813	0.8357	
4	46	821	0.8985	
4	47	483	0.9116	
4	48	457	0.9199	
5	1	0	NA	
5	2	0	NA	
5	3	805	0.8621	
5	4	842	0.8386	
5	5	0	NA	
5	6	92	0.9145	
5	7	0	NA	
5	8	0	NA	
5	9	545	0.9221	
5	10	428	0.9184	
5	11	776	0.8802	
5	12	712	0.919	
5	13	469	0.8603	
5	14	488	0.9079	
5	15	774	0.7652	
5	16	788	0.7921	
5	17	643	0.6042	
5	18	628	0.9356	
5	19	434	0.8736	
5	20	580	0.9199	
5	21	622	0.9102	
5	22	630	0.9337	
5	23	494	0.8311	
5	24	505	0.908	
5	25	654	0.8902	
5	26	626	0.9046	
5	27	671	0.8915	
5	28	711	0.9025	
5	29	747	0.8763	
5	30	731	0.8715	
5	31	743	0.8297	
5	32	797	0.8628	
5	33	534	0.8314	
5	34	460	0.9808	
5	35	684	0.9042	
5	36	736	0.8875	
5	37	287	0.9474	
5	38	356	0.8786	
5	39	773	0.9172	
5	40	809	0.8625	
5	41	911	0.8849	
5	42	794	0.9421	
5	43	0	NA	
5	44	0	NA	
5	45	630	0.9337	
5	46	972	0.8775	
5	47	928	0.8669	
5	48	1255	0.9216	
6	1	0	NA	
6	2	0	NA	
6	3	854	0.8724	
6	4	744	0.9379	
6	5	49	0.901	
6	6	92	0.9453	
6	7	0	NA	
6	8	0	NA	
6	9	595	0.9264	
6	10	260	0.8818	
6	11	667	0.8713	
6	12	654	0.9104	
6	13	517	0.8355	
6	14	729	0.9299	
6	15	750	0.8941	
6	16	746	0.9516	
6	17	613	0.8459	
6	18	652	0.8112	
6	19	321	0.8445	
6	20	456	0.8913	
6	21	639	0.9166	
6	22	683	0.9029	
6	23	532	0.855	
6	24	587	0.9259	
6	25	720	0.8612	
6	26	703	0.9183	
6	27	676	0.909	
6	28	644	0.919	
6	29	788	0.8997	
6	30	840	0.8672	
6	31	702	0.8563	
6	32	722	0.9058	
6	33	496	0.8744	
6	34	727	0.9384	
6	35	684	0.9358	
6	36	486	0.9042	
6	37	388	0.9576	
6	38	411	0.8956	
6	39	831	0.8765	
6	40	796	0.8524	
6	41	710	0.9274	
6	42	814	0.8909	
6	43	0	NA	
6	44	0	NA	
6	45	763	0.9526	
6	46	598	0.9433	
6	47	1049	0.9338	
6	48	1027	0.8807	
7	1	1207	0.9225	
7	2	1080	0.9427	
7	3	492	0.8972	
7	4	704	0.8489	
7	5	813	0.9078	
7	6	740	0.9027	
7	7	803	0.8732	
7	8	780	0.8353	
7	9	0	NA	
7	10	0	NA	
7	11	774	0.8576	
7	12	695	0.8618	
7	13	634	0.7609	
7	14	719	0.9235	
7	15	0	NA	
7	16	0	NA	
7	17	768	0.8768	
7	18	839	0.7791	
7	19	786	0.8547	
7	20	742	0.9264	
7	21	838	0.9255	
7	22	700	0.9035	
7	23	746	0.9469	
7	24	672	0.8928	
7	25	743	0.959	
7	26	799	0.9525	
7	27	241	0.7704	
7	28	129	0.6582	
7	29	773	0.8498	
7	30	491	0.888	
7	31	737	0.9139	
7	32	665	0.8686	
7	33	734	0.9317	
7	34	752	0.9434	
7	35	771	0.9045	
7	36	635	0.8794	
7	37	624	0.8749	
7	38	745	0.9194	
7	39	646	0.8644	
7	40	696	0.9201	
7	41	787	0.8748	
7	42	825	0.907	
7	43	427	0.8778	
7	44	0	NA	
7	45	922	0.8956	
7	46	821	0.9126	
7	47	906	0.9079	
7	48	1151	0.9285	
8	1	1091	0.9126	
8	2	1059	0.8858	
8	3	790	0.9225	
8	4	773	0.9068	
8	5	624	0.8794	
8	6	634	0.9047	
8	7	678	0.939	
8	8	736	0.8875	
8	9	0	NA	
8	10	0	NA	
8	11	678	0.8547	
8	12	749	0.8619	
8	13	787	0.8558	
8	14	634	0.9446	
8	15	2	25.1327	
8	16	0	NA	
8	17	793	0.8126	
8	18	768	0.8728	
8	19	730	0.9423	
8	20	784	0.8951	
8	21	760	0.8448	
8	22	828	0.2363	C
8	23	715	0.934	
8	24	619	0.9513	
8	25	775	0.9454	
8	26	782	0.8134	
8	27	304	0.8482	
8	28	314	0.9651	
8	29	504	0.8714	
8	30	311	0.9457	
8	31	764	0.932	
8	32	715	0.9615	
8	33	763	0.826	
8	34	648	0.9199	
8	35	797	0.9457	
8	36	487	0.9061	
8	37	634	0.9161	
8	38	462	0.9498	
8	39	773	0.9172	
8	40	747	0.9326	
8	41	795	0.8935	
8	42	833	0.9018	
8	43	166	0.9358	
8	44	100	0.928	
8	45	826	0.9181	
8	46	882	0.9203	
8	47	778	0.9127	
8	48	1104	0.8108	
9	1	1170	0.8861	
9	2	888	0.8715	
9	3	628	0.9477	
9	4	759	0.9153	
9	5	791	0.928	
9	6	662	0.8444	
9	7	617	0.9482	
9	8	643	0.9062	
9	9	731	0.9108	
9	10	719	0.9281	
9	11	506	0.8849	
9	12	560	0.8882	
9	13	686	0.9385	
9	14	694	0.6811	
9	15	452	0.9492	
9	16	535	0.8329	
9	17	701	0.9202	
9	18	729	0.9364	
9	19	0	NA	
9	20	11	0.7411	
9	21	0	NA	
9	22	18	0.3648	C
9	23	575	0.8522	
9	24	521	0.8885	
9	25	733	0.8738	
9	26	737	0.9139	
9	27	0	NA	
9	28	0	NA	
9	29	793	0.8624	
9	30	767	0.9511	
9	31	650	0.9684	
9	32	226	0.9433	
9	33	754	0.9198	
9	34	707	0.9081	
9	35	611	0.939	
9	36	633	0.841	
9	37	818	0.9093	
9	38	731	0.8576	
9	39	626	0.8933	
9	40	600	0.8443	
9	41	689	0.8893	
9	42	676	0.9202	
9	43	789	0.9514	
9	44	612	0.907	
9	45	345	0.9868	
9	46	595	0.951	
9	47	742	0.8905	
9	48	973	0.8872	
10	1	1005	0.9202	
10	2	974	0.8671	
10	3	969	0.9052	
10	4	843	0.8891	
10	5	669	0.9547	
10	6	681	0.9003	
10	7	589	0.9518	
10	8	619	0.8801	
10	9	735	0.8905	
10	10	852	0.9367	
10	11	475	0.9479	
10	12	449	0.8525	
10	13	636	0.919	
10	14	701	0.8158	
10	15	539	0.8744	
10	16	560	0.8834	
10	17	716	0.9513	
10	18	580	0.8866	
10	19	0	NA	
10	20	0	NA	
10	21	0	NA	
10	22	0	NA	
10	23	583	0.8912	
10	24	490	0.8404	
10	25	726	0.9002	
10	26	757	0.9234	
10	27	0	NA	
10	28	0	NA	
10	29	733	0.8668	
10	30	534	0.9285	
10	31	463	0.9663	
10	32	10	0.9248	
10	33	717	0.9642	
10	34	720	0.8989	
10	35	664	0.8822	
10	36	592	0.9695	
10	37	749	0.8989	
10	38	728	0.9133	
10	39	592	0.9771	
10	40	336	0.9147	
10	41	677	0.9444	
10	42	617	0.8297	
10	43	505	0.9475	
10	44	546	0.8346	
10	45	473	0.8505	
10	46	482	0.8841	
10	47	862	0.9434	
10	48	626	0.9569	
11	1	1177	0.9406	
11	2	716	0.8734	
11	3	0	NA	
11	4	0	NA	
11	5	4	1.078	
11	6	216	0.8826	
11	7	693	0.6548	
11	8	643	0.9409	
11	9	0	NA	
11	10	37	0.8554	
11	11	676	0.9362	
11	12	740	0.9176	
11	13	534	0.8516	
11	14	640	0.8606	
11	15	681	0.8461	
11	16	705	0.86	
11	17	634	0.8674	
11	18	764	0.8643	
11	19	707	0.8974	
11	20	751	0.8257	
11	21	858	0.7387	
11	22	736	0.8337	
11	23	769	0.8739	
11	24	763	0.8851	
11	25	664	0.9392	
11	26	578	0.9466	
11	27	759	0.8666	
11	28	767	0.6828	
11	29	756	0.9439	
11	30	712	0.9255	
11	31	746	0.8996	
11	32	767	0.9511	
11	33	413	0.9283	
11	34	331	0.9811	
11	35	783	0.904	
11	36	850	0.9303	
11	37	0	NA	
11	38	0	NA	
11	39	870	0.9418	
11	40	827	0.9399	
11	41	798	0.9214	
11	42	857	0.8716	
11	43	580	0.903	
11	44	586	0.9418	
11	45	711	0.9132	
11	46	721	0.8795	
11	47	918	0.8879	
11	48	1133	0.9226	
12	1	586	0.9418	
12	2	784	0.9241	
12	3	0	NA	
12	4	0	NA	
12	5	214	0.9497	
12	6	243	0.9442	
12	7	615	0.8414	
12	8	628	0.9122	
12	9	409	0.9615	
12	10	290	0.9649	
12	11	798	0.8773	
12	12	607	0.7743	
12	13	626	0.8823	
12	14	501	0.9651	
12	15	692	0.8277	
12	16	693	0.8223	
12	17	727	0.9338	
12	18	725	0.9203	
12	19	772	0.9014	
12	20	742	0.8378	
12	21	774	0.9333	
12	22	808	0.8981	
12	23	781	0.8917	
12	24	795	0.8645	
12	25	679	0.9085	
12	26	645	0.8933	
12	27	775	0.9092	
12	28	763	0.9245	
12	29	702	0.9393	
12	30	721	0.8795	
12	31	752	0.9389	
12	32	729	0.8103	
12	33	408	0.9682	
12	34	400	0.9492	
12	35	823	0.9107	
12	36	787	0.949	
12	37	0	NA	
12	38	0	NA	
12	39	745	0.874	
12	40	781	0.9373	
12	41	793	0.8327	
12	42	814	0.9505	
12	43	605	0.8966	
12	44	489	0.9045	
12	45	769	0.9124	
12	46	528	0.8883	
12	47	897	0.8895	
12	48	926	0.9418	
13	1	1058	0.9273	
13	2	954	0.8823	
13	3	638	0.8476	
13	4	907	0.8902	
