# gitter v1.0.3 data file generated on Wed Feb 25 11:12:42 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	957	0.9296	
1	2	1305	0.9149	
1	3	302	0.9783	
1	4	474	0.9264	
1	5	1049	0.8122	
1	6	1080	0.8829	
1	7	1084	0.8946	
1	8	943	0.8809	
1	9	0	NA	
1	10	0	NA	
1	11	11	0.6981	
1	12	502	0.9474	
1	13	1303	0.9249	
1	14	1249	0.9105	
1	15	0	NA	
1	16	0	NA	
1	17	1154	0.8399	
1	18	1111	0.9047	
1	19	0	NA	
1	20	0	NA	
1	21	1045	0.8961	
1	22	938	0.944	
1	23	1223	0.9228	
1	24	1165	0.8633	
1	25	1042	0.8682	
1	26	1102	0.889	
1	27	1154	0.8787	
1	28	1206	0.9217	
1	29	1108	0.8938	
1	30	1192	0.9279	
1	31	0	NA	
1	32	0	NA	
1	33	1229	0.8756	
1	34	1177	0.9044	
1	35	787	0.9087	
1	36	614	0.9148	
1	37	0	NA	
1	38	0	NA	
1	39	0	NA	
1	40	0	NA	
1	41	1187	0.8875	
1	42	1022	0.9098	
1	43	814	0.9107	
1	44	978	0.919	
1	45	0	NA	
1	46	0	NA	
1	47	318	0.7505	S
1	48	1307	0.8895	
2	1	1283	0.851	
2	2	1069	0.9152	
2	3	511	0.9507	
2	4	234	0.917	
2	5	1061	0.896	
2	6	839	0.8755	
2	7	884	0.8613	
2	8	1055	0.912	
2	9	0	NA	
2	10	0	NA	
2	11	968	0.9043	
2	12	203	0.921	
2	13	651	0.8692	
2	14	1296	0.9433	
2	15	0	NA	
2	16	0	NA	
2	17	1427	0.9353	
2	18	1023	0.9107	
2	19	5	1.3475	
2	20	0	NA	
2	21	745	0.9044	
2	22	828	0.9453	
2	23	859	0.9444	
2	24	846	0.9508	
2	25	1004	0.9379	
2	26	704	0.9196	
2	27	1045	0.9434	
2	28	1048	0.8936	
2	29	1113	0.8429	
2	30	758	0.8892	
2	31	0	NA	
2	32	0	NA	
2	33	1120	0.912	
2	34	978	0.8881	
2	35	2	25.1327	
2	36	12	0.9674	
2	37	0	NA	
2	38	0	NA	
2	39	0	NA	
2	40	0	NA	
2	41	836	0.8953	
2	42	1011	0.935	
2	43	1087	0.9489	
2	44	610	0.8926	
2	45	0	NA	
2	46	0	NA	
2	47	5	0.7355	
2	48	1373	0.9344	
3	1	0	NA	
3	2	0	NA	
3	3	802	0.9561	
3	4	1094	0.8743	
3	5	1342	0.8826	
3	6	1191	0.8036	
3	7	504	0.8886	
3	8	583	0.9211	
3	9	616	0.9014	
3	10	733	0.9027	
3	11	1259	0.9016	
3	12	945	0.9086	
3	13	764	0.8271	
3	14	661	0.9268	
3	15	797	0.8443	
3	16	694	0.7836	
3	17	989	0.9108	
3	18	897	0.922	
3	19	957	0.9031	
3	20	1050	0.8527	
3	21	822	0.8423	
3	22	709	0.9	
3	23	778	0.8784	
3	24	924	0.8846	
3	25	0	NA	
3	26	0	NA	
3	27	926	0.9239	
3	28	822	0.9385	
3	29	703	0.8837	
3	30	513	0.9044	
3	31	853	0.9482	
3	32	814	0.9398	
3	33	636	0.8918	
3	34	488	0.8724	
3	35	1026	0.8834	
3	36	981	0.8945	
3	37	736	0.8833	
3	38	667	0.8756	
3	39	931	0.937	
3	40	948	0.8819	
3	41	1068	0.902	
3	42	1061	0.8722	
3	43	0	NA	
3	44	0	NA	
3	45	0	NA	
3	46	0	NA	
3	47	22	1.0173	
3	48	184	0.8317	S
4	1	0	NA	
4	2	0	NA	
4	3	1317	0.9233	
4	4	1137	0.9002	
4	5	1263	0.8998	
4	6	471	0.8889	
4	7	1391	0.8654	
4	8	0	NA	
4	9	731	0.8674	
4	10	815	0.896	
4	11	888	0.8753	
4	12	294	0.9105	
4	13	707	0.9018	
4	14	810	0.9045	
4	15	764	0.8119	
4	16	534	0.9158	
4	17	1033	0.8179	
4	18	1035	0.8911	
4	19	760	0.8139	
4	20	896	0.9113	
4	21	910	0.8381	
4	22	611	0.8567	
4	23	437	0.9259	
4	24	613	0.9201	
4	25	0	NA	
4	26	0	NA	
4	27	855	0.9357	
4	28	848	0.881	
4	29	619	0.9513	
4	30	504	0.8886	
4	31	831	0.8996	
4	32	778	0.9127	
4	33	751	0.9533	
4	34	575	0.9292	
4	35	939	0.9492	
4	36	924	0.8668	
4	37	688	0.9252	
4	38	628	0.9075	
4	39	748	0.9339	
4	40	598	0.9558	
4	41	978	0.946	
4	42	896	0.8491	
4	43	0	NA	
4	44	0	NA	
4	45	0	NA	
4	46	0	NA	
4	47	1	Inf	
4	48	6	0.5549	C
5	1	0	NA	
5	2	0	NA	
5	3	0	NA	
5	4	0	NA	
5	5	0	NA	
5	6	0	NA	
5	7	0	NA	
5	8	0	NA	
5	9	1118	0.877	
5	10	864	0.8605	
5	11	221	1.0027	
5	12	676	0.8937	
5	13	236	0.9248	
5	14	273	0.9134	
5	15	0	NA	
5	16	381	0.775	
5	17	0	NA	
5	18	0	NA	
5	19	385	0.9502	
5	20	409	0.8112	
5	21	0	NA	
5	22	0	NA	
5	23	664	0.8716	
5	24	806	0.9411	
5	25	972	0.8688	
5	26	872	0.9099	
5	27	138	0.77	
5	28	109	0.7277	
5	29	697	0.9487	
5	30	849	0.9437	
5	31	858	0.9537	
5	32	832	0.8436	
5	33	421	0.9317	
5	34	339	0.9229	
5	35	826	0.904	
5	36	890	0.9531	
5	37	0	NA	
5	38	0	NA	
5	39	778	0.8648	
5	40	1014	0.9064	
5	41	756	0.8312	
5	42	882	0.8877	
5	43	886	0.9446	
5	44	1131	0.8804	
5	45	0	NA	
5	46	0	NA	
5	47	114	0.9433	S
5	48	0	NA	
6	1	994	0.8798	
6	2	0	NA	
6	3	0	NA	
6	4	0	NA	
6	5	0	NA	
6	6	0	NA	
6	7	838	0.8866	
6	8	6	0.5549	C
6	9	936	0.9037	
6	10	822	0.9137	
6	11	229	0.944	
6	12	0	NA	
6	13	333	0.87	
6	14	731	0.9171	
6	15	0	NA	
6	16	0	NA	
6	17	0	NA	
6	18	5	5.3901	
6	19	385	0.8907	
6	20	519	0.9203	
6	21	0	NA	
6	22	0	NA	
6	23	750	0.9001	
6	24	825	0.874	
6	25	848	0.9041	
6	26	951	0.8832	
