# gitter v1.0.3 data file generated on Wed Feb 25 11:17:20 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1637	0.9028	
1	2	1204	0.9409	
1	3	1100	0.8407	
1	4	971	0.8679	
1	5	1431	0.919	
1	6	368	0.7114	S
1	7	3	3.2341	
1	8	0	NA	
1	9	1763	0.8966	
1	10	1254	0.906	
1	11	642	0.9161	
1	12	848	0.8888	
1	13	1032	0.8885	
1	14	955	0.9277	
1	15	1055	0.8707	
1	16	1144	0.8858	
1	17	1063	0.9064	
1	18	1142	0.8462	
1	19	1122	0.8967	
1	20	1117	0.8616	
1	21	952	0.8402	
1	22	1068	0.9361	
1	23	890	0.8608	
1	24	1310	0.8764	
1	25	1176	0.8636	
1	26	1234	0.9431	
1	27	0	NA	
1	28	0	NA	
1	29	56	0.9267	
1	30	62	0.8575	
1	31	1224	0.8876	
1	32	1190	0.9299	
1	33	588	0.9155	
1	34	271	0.7593	S
1	35	0	NA	
1	36	0	NA	
1	37	369	0.7103	S
1	38	1124	0.8783	
1	39	978	0.8829	
1	40	1017	0.9053	
1	41	290	0.4471	S,C
1	42	1240	0.8992	
1	43	302	0.6337	S
1	44	1159	0.8974	
1	45	139	0.3964	S,C
1	46	256	0.6603	S
1	47	22	0.7601	S
1	48	313	0.6699	S
2	1	892	0.8939	
2	2	1290	0.8285	
2	3	21	1.2577	
2	4	652	0.9421	
2	5	1202	0.9187	
2	6	1397	0.9079	
2	7	0	NA	
2	8	0	NA	
2	9	1133	0.9175	
2	10	1307	0.9051	
2	11	16	0.4101	C
2	12	724	0.9083	
2	13	331	0.8202	S
2	14	647	0.9185	
2	15	805	0.8907	
2	16	866	0.8376	
2	17	739	0.881	
2	18	867	0.9144	
2	19	919	0.8836	
2	20	655	0.9347	
2	21	1059	0.874	
2	22	1110	0.9004	
2	23	1088	0.8835	
2	24	901	0.8477	
2	25	946	0.7989	
2	26	1017	0.9091	
2	27	0	NA	
2	28	0	NA	
2	29	47	0.9851	
2	30	38	0.9957	
2	31	1058	0.89	
2	32	890	0.8826	
2	33	299	0.8835	S
2	34	206	0.8073	S
2	35	3	3.2341	
2	36	0	NA	
2	37	914	0.8217	
2	38	269	0.6482	S
2	39	829	0.9215	
2	40	753	0.8637	
2	41	258	0.7357	S
2	42	901	0.9545	
2	43	1262	0.8802	
2	44	1400	0.9254	
2	45	797	0.9457	
2	46	130	0.7813	S
2	47	1406	0.8807	
2	48	1245	0.9225	
3	1	1009	0.92	
3	2	954	0.9461	
3	3	0	NA	
3	4	0	NA	
3	5	0	NA	
3	6	0	NA	
3	7	1165	0.8938	
3	8	362	0.725	S
3	9	331	0.7587	S
3	10	906	0.9454	
3	11	0	NA	
3	12	0	NA	
3	13	0	NA	
3	14	0	NA	
3	15	990	0.9064	
3	16	892	0.9169	
3	17	0	NA	
3	18	0	NA	
3	19	0	NA	
3	20	0	NA	
3	21	0	NA	
3	22	0	NA	
3	23	922	0.9049	
3	24	833	0.8384	
3	25	869	0.8284	
3	26	846	0.9508	
3	27	1136	0.8925	
3	28	1059	0.8764	
3	29	1067	0.895	
3	30	928	0.8794	
3	31	104	1.0687	
3	32	145	0.901	S
3	33	1041	0.8708	
3	34	647	0.9301	
3	35	1054	0.9201	
3	36	1035	0.9161	
3	37	901	0.9068	
3	38	843	0.8796	
3	39	870	0.9078	
3	40	710	0.8481	
3	41	896	0.9349	
3	42	971	0.8679	
3	43	6	0.5549	C
3	44	0	NA	
3	45	22	1.0173	
3	46	978	0.8793	
3	47	337	0.685	S
3	48	1169	0.9017	
4	1	1521	0.9158	
4	2	859	0.9199	
4	3	0	NA	
4	4	0	NA	
4	5	0	NA	
4	6	0	NA	
4	7	1284	0.9346	
4	8	181	0.8106	S
4	9	375	0.7786	S
4	10	843	0.8835	
4	11	0	NA	
4	12	0	NA	
4	13	0	NA	
4	14	0	NA	
4	15	1027	0.8557	
4	16	1073	0.8385	
4	17	0	NA	
4	18	0	NA	
4	19	0	NA	
4	20	0	NA	
4	21	1	Inf	
4	22	0	NA	
4	23	966	0.6765	
4	24	652	0.8875	
4	25	510	0.8451	
4	26	936	0.862	
4	27	1123	0.9394	
4	28	1242	0.9087	
4	29	836	0.905	
4	30	309	0.7784	S
4	31	73	0.9072	
4	32	60	0.7655	
4	33	1151	0.8797	
4	34	418	0.9396	
4	35	754	0.9618	
4	36	869	0.8655	
4	37	347	0.7426	S
4	38	738	0.9368	
4	39	864	0.8976	
4	40	734	0.9208	
4	41	210	0.7651	S
4	42	1076	0.888	
4	43	27	0.8085	
4	44	29	0.8684	
4	45	162	0.7911	S
4	46	773	0.9215	
4	47	1360	0.8692	
4	48	1291	0.8503	
5	1	0	NA	
5	2	0	NA	
5	3	16	0.5884	C
5	4	20	0.822	
5	5	0	NA	
5	6	0	NA	
5	7	445	0.9912	
5	8	517	0.8747	
5	9	843	0.8703	
5	10	716	0.956	
5	11	387	0.9777	
5	12	555	0.8375	
5	13	571	0.7733	
5	14	416	0.8425	
5	15	439	0.936	
5	16	590	0.8346	
5	17	732	0.8727	
5	18	959	0.784	
5	19	639	0.8698	
5	20	830	0.8849	
5	21	0	NA	
5	22	1	Inf	
5	23	763	0.8083	
5	24	855	0.8356	
5	25	736	0.9126	
5	26	844	0.9382	
5	27	0	NA	
5	28	2	25.1327	
5	29	0	NA	
5	30	0	NA	
5	31	1060	0.8551	
5	32	1028	0.8517	
5	33	887	0.8743	
5	34	968	0.9081	
5	35	976	0.8847	
5	36	932	0.8743	
5	37	0	NA	
5	38	1	Inf	
5	39	907	0.8657	
5	40	1025	0.92	
5	41	258	0.714	S
5	42	297	0.3991	S,C
5	43	19	1.0512	
5	44	110	0.7039	S
5	45	73	0.5935	S,C
5	46	4	5.5851	
5	47	172	0.5056	S,C
5	48	109	0.383	S,C
6	1	0	NA	
6	2	0	NA	
6	3	1273	0.9116	
6	4	951	0.9334	
6	5	0	NA	
6	6	0	NA	
6	7	687	0.8721	
6	8	319	0.89	
6	9	900	0.8925	
6	10	758	0.8934	
6	11	515	0.9132	
6	12	233	0.7902	
6	13	289	0.9802	
6	14	420	0.8125	
6	15	752	0.8028	
6	16	722	0.921	
6	17	773	0.8728	
6	18	1050	0.9077	
6	19	499	0.7988	
6	20	761	0.9327	
6	21	1	Inf	
6	22	0	NA	
6	23	804	0.8301	
6	24	736	0.95	
6	25	775	0.821	
6	26	964	0.8642	
6	27	0	NA	
6	28	0	NA	
6	29	0	NA	
6	30	0	NA	
6	31	1089	0.8819	
6	32	979	0.9412	
6	33	50	0.8274	
6	34	1179	0.8658	
6	35	209	0.7615	S
6	36	566	0.8587	
6	37	0	NA	
6	38	0	NA	
6	39	1036	0.8666	
6	40	734	0.8984	
6	41	783	0.8841	
6	42	362	0.725	S
6	43	50	0.6761	S
6	44	153	0.8296	S
6	45	25	0.4211	S,C
6	46	216	0.7444	S
6	47	0	NA	
6	48	0	NA	
7	1	1171	0.9358	
7	2	964	0.9043	
7	3	368	0.7593	S
7	4	1103	0.9278	
7	5	1	Inf	
7	6	0	NA	
7	7	0	NA	
7	8	0	NA	
7	9	879	0.894	
7	10	791	0.9115	
7	11	876	0.9181	
7	12	664	0.8974	
7	13	693	0.8809	
7	14	767	0.8526	
7	15	944	0.9305	
7	16	392	0.9675	
7	17	16	0.8852	
7	18	4	1.4797	
7	19	850	0.787	
7	20	1176	0.8714	
7	21	29	0.6473	
7	22	17	1.1454	
7	23	983	0.9183	
7	24	824	0.9159	
7	25	659	0.8755	
7	26	822	0.9535	
7	27	1	Inf	
7	28	0	NA	
7	29	0	NA	
7	30	0	NA	
7	31	1	Inf	
7	32	2	12.5664	
7	33	857	0.7824	
7	34	733	0.8503	
7	35	909	0.8868	
7	36	941	0.7642	
7	37	1	Inf	
7	38	5	0.7355	
7	39	836	0.9293	
7	40	810	0.9146	
7	41	0	NA	
7	42	0	NA	
7	43	822	0.854	
7	44	765	0.8503	
7	45	733	0.9575	
7	46	32	0.5016	S,C
7	47	1152	0.8968	
7	48	1332	0.9065	
8	1	776	0.8942	
8	2	1398	0.9353	
8	3	883	0.9214	
8	4	713	0.9203	
8	5	0	NA	
8	6	0	NA	
8	7	0	NA	
8	8	0	NA	
8	9	877	0.8827	
8	10	593	0.9405	
8	11	465	0.5525	C
8	12	610	0.9254	
8	13	579	0.7484	
8	14	636	0.8964	
8	15	861	0.9024	
8	16	26	0.6011	
8	17	15	0.8299	
8	18	10	0.4312	C
8	19	803	0.8868	
8	20	805	0.9444	
8	21	12	0.8826	
8	22	18	0.3826	C
8	23	815	0.9561	
8	24	831	0.8579	
8	25	882	0.8785	
8	26	1180	0.9307	
8	27	0	NA	
8	28	0	NA	
8	29	0	NA	
8	30	0	NA	
8	31	0	NA	
8	32	0	NA	
8	33	776	0.8439	
8	34	637	0.8391	
8	35	926	0.782	
8	36	869	0.7269	
8	37	2	25.1327	
8	38	0	NA	
