# gitter v1.0.3 data file generated on Wed Feb 25 11:24:37 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1616	0.936	
1	2	1702	0.8439	
1	3	0	NA	
1	4	67	0.5714	C
1	5	928	0.8705	
1	6	670	0.9166	
1	7	1785	0.9038	
1	8	1847	0.8778	
1	9	1633	0.9006	
1	10	1225	0.8837	
1	11	1421	0.9094	
1	12	1334	0.8787	
1	13	771	0.8677	
1	14	1122	0.8389	
1	15	1805	0.8729	
1	16	2300	0.7992	
1	17	548	0.8314	
1	18	293	0.5668	C
1	19	1303	0.8977	
1	20	1228	0.9099	
1	21	1672	0.8857	
1	22	889	0.8909	
1	23	904	0.9098	
1	24	967	0.8025	
1	25	1233	0.9185	
1	26	2414	0.8878	
1	27	723	0.907	
1	28	1822	0.8535	
1	29	1691	0.7626	
1	30	966	0.8126	
1	31	1121	0.8784	
1	32	1716	0.8953	
1	33	510	0.9433	
1	34	2667	0.9099	
1	35	71	0.5007	C
1	36	82	0.8344	
1	37	2074	0.8878	
1	38	1582	0.931	
1	39	1644	0.8449	
1	40	1388	0.7913	
1	41	1325	0.8581	
1	42	1470	0.8554	
1	43	539	0.8283	
1	44	1764	0.8593	
1	45	171	0.7589	S
1	46	546	0.9041	S
1	47	623	0.7007	S
1	48	1670	0.9039	
2	1	1588	0.9125	
2	2	1256	0.8915	
2	3	0	NA	
2	4	0	NA	
2	5	1089	0.8868	
2	6	462	0.9219	
2	7	1365	0.8736	
2	8	1356	0.9072	
2	9	980	0.8674	
2	10	1245	0.9191	
2	11	608	0.8246	
2	12	1439	0.8269	
2	13	99	0.7239	
2	14	921	0.8543	
2	15	1142	0.8148	
2	16	985	0.8423	
2	17	60	0.7572	
2	18	1936	0.9016	
2	19	834	0.8891	
2	20	2512	0.857	
2	21	1075	0.8591	
2	22	1159	0.8712	
2	23	759	0.8514	
2	24	492	0.8589	
2	25	1677	0.829	
2	26	752	0.8923	
2	27	906	0.8237	
2	28	275	0.9509	
2	29	1353	0.8719	
2	30	1932	0.887	
2	31	1226	0.852	
2	32	958	0.9133	
2	33	874	0.8541	
2	34	485	0.9115	
2	35	44	0.5162	C
2	36	42	0.7868	
2	37	388	0.8401	
2	38	1338	0.9265	
2	39	1136	0.8729	
2	40	1719	0.7577	
2	41	1056	0.9004	
2	42	1030	0.8582	
2	43	1393	0.8399	
2	44	1141	0.7645	
2	45	476	0.8238	S
2	46	1875	0.8127	
2	47	673	0.6326	S
2	48	2131	0.8091	
3	1	1381	0.8722	
3	2	1565	0.9137	
3	3	908	0.8279	
3	4	1176	0.8484	
3	5	932	0.9243	
3	6	1411	0.8577	
3	7	25	0.558	C
3	8	32	1.078	
3	9	1156	0.8309	
3	10	1173	0.8771	
3	11	430	0.884	
3	12	601	0.847	
3	13	19	0.9445	
3	14	33	0.763	
3	15	1009	0.9019	
3	16	651	0.9407	
