# gitter v1.0.3 data file generated on Wed Feb 25 11:20:03 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	601	0.9532	
1	2	861	0.9121	
1	3	940	0.8961	
1	4	959	0.8523	
1	5	1104	0.846	
1	6	1024	0.9375	
1	7	685	0.9101	
1	8	783	0.9487	
1	9	1110	0.8674	
1	10	1070	0.8147	
1	11	895	0.7857	
1	12	940	0.8093	
1	13	1150	0.8987	
1	14	1105	0.9332	
1	15	27	0.9929	
1	16	24	0.8826	
1	17	29	0.7481	
1	18	25	0.6916	
1	19	1173	0.6765	
1	20	1225	0.6846	
1	21	729	0.7526	
1	22	544	0.8944	
1	23	22	1.0936	
1	24	19	0.8786	
1	25	728	0.8679	
1	26	456	0.9433	
1	27	865	0.7603	
1	28	731	0.7828	
1	29	964	0.8132	
1	30	16	0.4991	C
1	31	1256	0.8445	
1	32	1220	0.6834	
1	33	1110	0.8407	
1	34	1057	0.8048	
1	35	1084	0.9032	
1	36	1077	0.7901	
1	37	1147	0.9217	
1	38	1104	0.8078	
1	39	1076	0.85	
1	40	1228	0.8826	
1	41	804	0.861	
1	42	891	0.8373	
1	43	1296	0.9247	
1	44	316	0.8062	
1	45	895	0.8969	
1	46	1066	0.9397	
1	47	621	0.8707	
1	48	1205	0.9092	
2	1	896	0.9018	
2	2	656	0.9479	
2	3	837	0.9102	
2	4	705	0.932	
2	5	819	0.9394	
2	6	862	0.9374	
2	7	676	0.8769	
2	8	671	0.9069	
2	9	796	0.8987	
2	10	862	0.9477	
2	11	628	0.9477	
2	12	792	0.8707	
2	13	900	0.7705	
2	14	907	0.8929	
2	15	14	0.5245	C
2	16	14	0.5491	C
2	17	12	0.7805	
2	18	20	0.7494	
2	19	1137	0.5355	C
2	20	1045	0.6751	
2	21	695	0.6119	
2	22	104	0.8605	
2	23	11	0.5194	C
2	24	16	0.7954	
2	25	266	0.9146	
2	26	14	1.4354	
2	27	573	0.9039	
2	28	725	0.7838	
2	29	25	1.078	
2	30	882	0.8762	
2	31	899	0.8748	
2	32	12	0.8826	
2	33	1011	0.8912	
2	34	750	0.7361	
2	35	892	0.8978	
2	36	1023	0.833	
2	37	983	0.6814	
2	38	909	0.6771	
2	39	969	0.6619	
2	40	683	0.786	
2	41	584	0.9437	
2	42	819	0.8508	
2	43	606	0.8039	
2	44	393	0.9117	
2	45	728	0.8247	
2	46	547	0.8676	
2	47	631	0.9401	
2	48	1175	0.8445	
3	1	32	1.078	
3	2	24	1.0061	
3	3	640	0.8563	
3	4	604	0.9404	
3	5	628	0.9651	
3	6	685	0.9211	
3	7	629	0.8159	
3	8	171	0.9087	
3	9	833	0.8769	
3	10	786	0.8875	
3	11	14	0.8385	
3	12	17	0.637	
3	13	856	0.8315	
3	14	840	0.7824	
3	15	238	0.8731	
3	16	319	0.9628	
3	17	1032	0.5344	C
3	18	1030	0.7624	
3	19	854	0.5645	C
3	20	793	0.7551	
3	21	1082	0.6669	
3	22	1036	0.7685	
3	23	1093	0.8256	
3	24	1181	0.7675	
3	25	12	0.5839	C
3	26	14	0.6474	
3	27	1003	0.8929	
3	28	843	0.7496	
3	29	17	0.7861	
3	30	9	0.5712	C
3	31	10	0.3922	C
3	32	13	0.4781	C
3	33	1060	0.7367	
3	34	698	0.53	C
3	35	5	0.7355	
3	36	206	1.01	
3	37	402	0.7511	
3	38	514	0.6829	
3	39	470	0.7983	
3	40	723	0.7544	
3	41	467	0.9206	
3	42	644	0.7555	
3	43	623	0.845	
3	44	722	0.8336	
3	45	1052	0.7967	
3	46	963	0.9181	
3	47	165	0.9885	
3	48	1214	0.8996	
4	1	33	1.1117	
4	2	20	0.7355	
4	3	673	0.9485	
4	4	594	0.9599	
4	5	679	0.9021	
4	6	757	0.8587	
4	7	265	0.909	
4	8	265	0.9609	
4	9	760	0.9271	
4	10	769	0.892	
4	11	14	0.8385	
4	12	14	0.8385	
4	13	753	0.6214	
4	14	856	0.4015	C
4	15	199	0.8695	
4	16	89	0.5513	C
4	17	859	0.3997	C
4	18	936	0.7664	
4	19	565	0.7113	
4	20	773	0.846	
4	21	912	0.8176	
4	22	949	0.7983	
4	23	1067	0.8975	
4	24	942	0.8134	
4	25	11	0.6981	
4	26	15	0.66	
4	27	982	0.827	
4	28	1028	0.7827	
4	29	13	1.048	
4	30	13	0.8759	
4	31	14	0.5754	C
4	32	12	0.5839	C
4	33	806	0.5823	C
4	34	822	0.8127	
4	35	12	0.6152	
4	36	320	0.822	
4	37	460	0.8403	
4	38	13	0.6462	
4	39	732	0.7899	
4	40	691	0.8669	
4	41	556	0.8499	
4	42	546	0.9186	
4	43	659	0.9356	
4	44	740	0.8822	
4	45	824	0.8433	
4	46	1003	0.8636	
4	47	972	0.8402	
4	48	1193	0.8416	
5	1	1061	0.8756	
5	2	871	0.9429	
5	3	786	0.9075	
5	4	715	0.9229	
5	5	227	0.882	
5	6	480	0.9246	
5	7	706	0.9113	
5	8	708	0.9031	
5	9	234	0.9282	
5	10	338	0.9202	
5	11	841	0.8554	
5	12	780	0.8212	
5	13	599	0.7551	
5	14	637	0.7081	
5	15	572	0.6192	
5	16	584	0.5481	C
5	17	676	0.7983	
5	18	856	0.6169	
5	19	542	0.5431	C
5	20	466	0.5373	C
5	21	12	0.4932	C
5	22	14	0.3668	C
5	23	902	0.8497	
5	24	777	0.8504	
5	25	825	0.6305	
5	26	604	0.8293	
5	27	413	0.6855	
5	28	627	0.7855	
5	29	585	0.7935	
5	30	410	0.4921	C
5	31	908	0.8173	
5	32	761	0.6968	
5	33	681	0.7237	
5	34	682	0.6989	
5	35	250	0.8098	
5	36	216	0.9711	
5	37	818	0.6732	
5	38	518	0.6709	
5	39	825	0.3337	C
5	40	667	0.6107	
5	41	20	0.9942	
5	42	89	0.9459	
5	43	861	0.8363	
5	44	706	0.8087	
5	45	445	0.8698	
5	46	635	0.9582	
5	47	103	0.9177	
5	48	423	0.9159	
6	1	1125	0.9111	
6	2	868	0.8556	
6	3	784	0.9499	
6	4	677	0.8874	
6	5	417	0.9228	
6	6	468	0.9203	
6	7	689	0.4788	C
6	8	681	0.9598	
6	9	349	0.8965	
6	10	209	0.9191	
6	11	766	0.7055	
6	12	767	0.8341	
6	13	599	0.9376	
6	14	499	0.559	C
6	15	631	0.622	
6	16	650	0.7446	
6	17	720	0.778	
6	18	598	0.6669	
6	19	560	0.7133	
6	20	507	0.8938	
6	21	14	0.8385	
6	22	16	0.7954	
6	23	725	0.9248	
6	24	517	0.9167	
6	25	673	0.8941	
6	26	616	0.6351	
6	27	387	0.6547	
6	28	416	0.7094	
6	29	238	0.3891	C
6	30	400	0.6613	
6	31	711	0.8715	
6	32	835	0.908	
6	33	568	0.4336	C
6	34	898	0.5936	C
6	35	202	0.8692	
6	36	126	0.8163	
6	37	917	0.6901	
6	38	456	0.9044	
6	39	683	0.6335	
6	40	757	0.8615	
6	41	16	0.9582	
6	42	218	0.8723	
6	43	836	0.8762	
6	44	651	0.9016	
6	45	935	0.8324	
6	46	471	0.9623	
6	47	805	0.8989	
6	48	43	0.9942	
7	1	28	0.8527	
7	2	18	0.8323	
7	3	627	0.8901	
7	4	674	0.8879	
7	5	326	0.8375	
7	6	401	0.7988	
7	7	666	0.7379	
7	8	621	0.8875	
7	9	522	0.8279	
7	10	385	0.5446	C
7	11	577	0.6597	
7	12	577	0.6824	
7	13	670	0.7772	
7	14	668	0.7687	
7	15	764	0.6552	
7	16	727	0.516	C
7	17	502	0.5215	C
7	18	638	0.4801	C
7	19	771	0.703	
7	20	777	0.9043	
7	21	18	0.6219	
7	22	13	0.6813	
7	23	789	0.9624	
7	24	752	0.9434	
7	25	831	0.8831	
7	26	842	0.9057	
7	27	817	0.7798	
7	28	860	0.7165	
7	29	861	0.7696	
7	30	1024	0.7714	
7	31	15	0.6936	
7	32	10	0.4624	C
7	33	864	0.7678	
7	34	758	0.8558	
7	35	721	0.5411	C
7	36	571	0.673	
7	37	339	0.9182	
7	38	593	0.903	
7	39	728	0.8066	
7	40	823	0.6414	
7	41	564	0.8897	
7	42	575	0.8205	
7	43	285	0.8827	
7	44	370	0.8923	
7	45	522	0.9712	
7	46	446	0.854	
7	47	20	0.8624	
7	48	33	0.9652	
8	1	24	0.8085	
8	2	13	0.346	C
8	3	711	0.8574	
8	4	595	0.9437	
8	5	384	0.9701	
8	6	409	0.9551	
8	7	753	0.908	
8	8	571	0.8475	
8	9	467	0.9458	
8	10	485	0.7386	
8	11	617	0.8696	
8	12	661	0.6113	
8	13	664	0.5796	C
8	14	754	0.6674	
8	15	743	0.5541	C
8	16	730	0.7174	
8	17	486	0.7497	
8	18	518	0.8247	
8	19	727	0.8144	
8	20	772	0.8985	
8	21	15	0.8299	
8	22	19	0.32	C
8	23	699	0.8916	
8	24	663	0.9182	
8	25	828	0.7689	
8	26	761	0.8553	
8	27	862	0.9173	
8	28	846	0.8426	
8	29	891	0.7453	
8	30	881	0.7279	
8	31	12	0.6639	
8	32	20	0.6347	
8	33	709	0.6699	
8	34	698	0.9099	
8	35	539	0.8744	
8	36	704	0.898	
8	37	573	0.9004	
8	38	449	0.8354	
8	39	737	0.8745	
8	40	715	0.8764	
8	41	533	0.9451	
8	42	520	0.8203	
8	43	22	1.0173	
8	44	599	0.95	
8	45	323	0.9404	
8	46	603	0.887	
8	47	25	0.9805	
8	48	41	0.8594	
9	1	1003	0.866	
9	2	820	0.9216	
9	3	9	0.4716	C
9	4	5	0.9248	
9	5	789	0.8514	
9	6	638	0.7401	
9	7	398	0.9445	
9	8	443	0.7495	
9	9	713	0.7252	
9	10	619	0.7587	
9	11	451	0.6412	
9	12	475	0.8677	
9	13	161	0.9403	
9	14	227	0.4181	C
9	15	750	0.6771	
9	16	840	0.7282	
9	17	58	0.596	C
9	18	70	0.6582	
9	19	18	0.6333	
9	20	22	1.0173	
9	21	283	0.7135	
9	22	191	0.8587	
9	23	870	0.4052	C
9	24	761	0.9436	
9	25	357	0.9789	
9	26	509	0.947	
9	27	683	0.8859	
9	28	684	0.8355	
9	29	471	0.611	
9	30	469	0.8553	
9	31	403	0.7467	
9	32	223	0.6071	
9	33	789	0.6563	
9	34	762	0.7097	
9	35	622	0.8235	
9	36	556	0.8623	
9	37	614	0.6476	
9	38	572	0.6635	
9	39	427	0.9105	
9	40	166	0.8822	
9	41	622	0.8721	
9	42	624	0.8611	
9	43	740	0.9284	
9	44	618	0.8559	
9	45	16	1.2898	
9	46	195	0.9785	
9	47	1141	0.8632	
9	48	1072	0.923	
10	1	938	0.8889	
10	2	849	0.8358	
10	3	10	0.6504	
10	4	11	0.5468	C
10	5	726	0.8898	
10	6	611	0.8598	
10	7	519	0.8231	
10	8	428	0.8452	
10	9	681	0.6875	
10	10	644	0.7058	
10	11	435	0.8982	
10	12	520	0.7053	
10	13	191	0.8531	
10	14	114	0.9433	
10	15	794	0.8172	
10	16	880	0.7843	
10	17	79	0.5039	C
10	18	50	0.5262	C
10	19	18	0.8323	
10	20	18	0.662	
10	21	233	0.6343	
10	22	132	1.0171	
10	23	890	0.4613	C
10	24	694	0.9494	
10	25	453	0.8193	
10	26	528	0.7866	
10	27	806	0.9	
10	28	601	0.8396	
10	29	528	0.763	
10	30	399	0.7104	
10	31	319	0.5195	C
10	32	254	0.6342	
10	33	716	0.7811	
10	34	845	0.6206	
10	35	466	0.6375	
10	36	662	0.8415	
10	37	586	0.4421	C
10	38	550	0.4128	C
10	39	844	0.69	
10	40	183	1.0317	
10	41	549	0.8872	
10	42	407	0.9882	
10	43	458	0.9219	
10	44	764	0.8033	
10	45	17	1.1454	
10	46	136	1.0479	
10	47	873	0.4715	C
10	48	1232	0.754	
11	1	912	0.8859	
11	2	701	0.8692	
11	3	498	0.9593	
11	4	528	0.9494	
11	5	678	0.9117	
11	6	671	0.8808	
11	7	604	0.8151	
11	8	620	0.4955	C
11	9	683	0.737	
11	10	616	0.6312	
11	11	743	0.6941	
11	12	763	0.6444	
11	13	694	0.708	
11	14	639	0.5682	C
11	15	685	0.6772	
11	16	759	0.5618	C
11	17	659	0.375	C
11	18	794	0.5479	C
11	19	808	0.5575	C
11	20	791	0.4511	C
11	21	778	0.8542	
11	22	743	0.8286	
11	23	338	0.8021	
11	24	246	0.8847	
11	25	328	0.7964	
11	26	407	0.6809	
11	27	15	0.4315	C
11	28	19	0.7658	
11	29	781	0.5787	C
11	30	643	0.588	C
11	31	851	0.6775	
11	32	827	0.7648	
11	33	14	0.7177	
11	34	16	0.8202	
11	35	719	0.6793	
11	36	689	0.5686	C
11	37	599	0.777	
11	38	571	0.7258	
11	39	389	0.5795	C
11	40	372	0.8828	
11	41	735	0.8554	
11	42	486	0.4527	C
11	43	651	0.7787	
11	44	676	0.6164	
11	45	856	0.6733	
11	46	816	0.497	C
11	47	1137	0.6074	
11	48	1055	0.912	
12	1	733	0.9133	
12	2	573	0.9209	
12	3	519	0.8731	
12	4	475	0.8965	
12	5	737	0.8774	
12	6	684	0.9244	
12	7	594	0.9546	
12	8	513	0.974	
12	9	686	0.7746	
12	10	696	0.7079	
12	11	773	0.6379	
12	12	773	0.5091	C
12	13	688	0.5441	C
12	14	612	0.5448	C
12	15	755	0.6953	
12	16	675	0.7945	
12	17	595	0.407	C
12	18	560	0.795	
12	19	848	0.7231	
12	20	633	0.7451	
12	21	752	0.6837	
12	22	730	0.8307	
12	23	614	0.6351	
12	24	767	0.6452	
12	25	351	0.8807	
12	26	324	0.7814	
12	27	16	0.5884	C
12	28	16	0.6275	
12	29	852	0.7407	
12	30	803	0.669	
12	31	530	0.8283	
12	32	844	0.7941	
12	33	17	0.6987	
12	34	22	0.8868	
12	35	733	0.7971	
12	36	748	0.5938	C
12	37	724	0.8465	
12	38	634	0.7671	
12	39	412	0.9777	
12	40	223	0.9807	
12	41	741	0.5491	C
12	42	438	0.8267	
12	43	858	0.8509	
12	44	774	0.6664	
12	45	637	0.9157	
12	46	900	0.554	C
12	47	1001	0.6322	
12	48	748	0.9275	
13	1	1094	0.9239	
13	2	841	0.887	
13	3	583	0.8576	
13	4	620	0.8482	
13	5	598	0.924	
13	6	557	0.9245	
13	7	15	0.869	
13	8	20	0.4251	C
13	9	618	0.6449	
13	10	517	0.7249	
13	11	725	0.8562	
