# gitter v1.0.3 data file generated on Wed Feb 25 11:19:29 2015
# Warning possible misgridding: high count of small colony sizes
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	507	0.93	
1	2	554	0.9502	
1	3	1067	0.884	
1	4	1016	0.9082	
1	5	978	0.9045	
1	6	979	0.951	
1	7	1026	0.8869	
1	8	1082	0.9353	
1	9	960	0.9097	
1	10	1064	0.9379	
1	11	88	0.8547	
1	12	217	0.963	
1	13	744	0.949	
1	14	360	0.8885	
1	15	1216	0.9011	
1	16	1101	0.8684	
1	17	1111	0.9383	
1	18	1191	0.9187	
1	19	1023	0.823	
1	20	955	0.8921	
1	21	944	0.9501	
1	22	909	0.8527	
1	23	1044	0.8733	
1	24	1261	0.9178	
1	25	397	0.8596	
1	26	753	0.8162	
1	27	595	0.9144	
1	28	737	0.8905	
1	29	1157	0.8843	
1	30	980	0.9063	
1	31	818	0.7641	
1	32	1077	0.9236	
1	33	1127	0.9353	
1	34	1123	0.9145	
1	35	1142	0.9091	
1	36	1252	0.8177	
1	37	1134	0.9148	
1	38	1346	0.9354	
1	39	169	0.8892	
1	40	326	0.9839	
1	41	11	0.6981	
1	42	618	0.8073	
1	43	19	0.8786	
1	44	8	0.7398	
1	45	21	0.7256	
1	46	71	1.0631	
1	47	1038	0.8937	
1	48	1063	0.937	
2	1	560	0.8451	
2	2	416	0.9291	
2	3	1044	0.8698	
2	4	900	0.9391	
2	5	895	0.944	
2	6	932	0.9147	
2	7	987	0.8651	
2	8	1003	0.9409	
2	9	937	0.943	
2	10	1074	0.9375	
2	11	110	1.0442	
2	12	85	0.9972	
2	13	807	0.9028	
2	14	639	0.9072	
2	15	921	0.8665	
2	16	943	0.9491	
2	17	814	0.8773	
2	18	916	0.8235	
2	19	808	0.8394	
2	20	829	0.8307	
2	21	680	0.8821	
2	22	475	0.6674	
2	23	951	0.9143	
2	24	986	0.8489	
2	25	351	0.8563	
2	26	231	0.9243	
2	27	686	0.8167	
2	28	581	0.9337	
2	29	1162	0.7766	
2	30	832	0.9007	
2	31	789	0.9318	
2	32	1022	0.9009	
2	33	996	0.8955	
2	34	1077	0.8285	
2	35	727	0.9496	
2	36	888	0.9032	
2	37	891	0.81	
2	38	456	0.9044	
2	39	82	0.9974	
2	40	11	0.7411	
2	41	638	0.7485	
2	42	323	0.8856	
2	43	13	0.8759	
2	44	11	0.6981	
2	45	168	0.9471	S
2	46	78	0.9843	
2	47	1074	0.9375	
2	48	997	0.8703	
3	1	954	0.9041	
3	2	949	0.9124	
3	3	9	0.4474	C
3	4	122	0.94	
3	5	609	0.8958	
3	6	488	0.921	
3	7	479	0.8684	
3	8	574	0.8662	
3	9	49	0.7911	
3	10	46	1.119	
3	11	741	0.9452	
3	12	608	0.8963	
3	13	803	0.9315	
3	14	790	0.9418	
3	15	705	0.8501	
3	16	691	0.8814	
3	17	664	0.8822	
3	18	692	0.8305	
3	19	764	0.8654	
3	20	880	0.7789	
3	21	721	0.7025	
3	22	766	0.7055	
3	23	667	0.7175	
3	24	720	0.8712	
3	25	871	0.8898	
3	26	833	0.8627	
3	27	664	0.931	
3	28	771	0.936	
3	29	570	0.7498	
3	30	792	0.774	
3	31	891	0.8206	
3	32	824	0.856	
3	33	659	0.9523	
3	34	664	0.9427	
3	35	572	0.8906	
3	36	550	0.8452	
3	37	5	0.7355	
3	38	9	0.6064	
3	39	692	0.9419	
3	40	978	0.9045	
3	41	680	0.8777	
3	42	646	0.8947	
3	43	22	0.6981	
3	44	610	0.9622	
3	45	1381	0.8692	
3	46	793	0.926	
3	47	9	0.7987	
3	48	18	0.8323	
4	1	1052	0.8329	
4	2	899	0.9281	
4	3	10	0.9248	
4	4	13	1.048	
4	5	680	0.8777	
4	6	580	0.9498	
4	7	518	0.9185	
4	8	482	0.9618	
4	9	71	0.9302	
4	10	13	1.2022	
4	11	671	0.918	
4	12	709	0.8318	
4	13	738	0.8426	
4	14	719	0.8435	
4	15	666	0.9271	
4	16	800	0.7852	
4	17	596	0.9229	
4	18	544	0.9591	
4	19	733	0.7815	
4	20	862	0.8872	
4	21	714	0.9108	
4	22	622	0.7777	
4	23	631	0.7092	
4	24	617	0.7204	
4	25	720	0.9139	
4	26	660	0.8787	
4	27	637	0.8536	
4	28	608	0.9415	
4	29	816	0.8488	
4	30	659	0.8817	
4	31	751	0.7778	
4	32	842	0.8438	
4	33	720	0.8753	
4	34	818	0.9236	
4	35	603	0.8936	
4	36	769	0.878	
4	37	9	0.6064	
4	38	13	0.6813	
4	39	845	0.8952	
4	40	594	0.9546	
4	41	953	0.9124	
4	42	794	0.9377	
4	43	650	0.9114	
4	44	717	0.8878	
4	45	666	0.8804	
4	46	753	0.837	
4	47	10	0.411	C
4	48	26	0.8983	
5	1	902	0.9454	
5	2	802	0.9055	
5	3	798	0.8639	
5	4	771	0.8803	
5	5	10	0.6504	
5	6	12	0.7805	
5	7	809	0.8798	
5	8	731	0.9171	
5	9	530	0.8632	
5	10	705	0.8641	
5	11	676	0.941	
5	12	590	0.9067	
5	13	815	0.8117	
5	14	738	0.8561	
5	15	685	0.8992	
5	16	629	0.6219	
5	17	732	0.8163	
5	18	636	0.8308	
5	19	550	0.8048	
5	20	537	0.8794	
5	21	18	1.078	
5	22	14	0.452	C
5	23	720	0.8129	
5	24	816	0.8834	
5	25	868	0.8608	
5	26	877	0.7406	
5	27	820	0.8742	
5	28	903	0.8351	
5	29	276	1.0008	
5	30	703	0.8924	
5	31	864	0.8632	
5	32	734	0.7825	
5	33	11	0.6981	
5	34	13	0.572	C
5	35	547	0.6977	
5	36	662	0.8114	
5	37	694	0.6058	
5	38	913	0.9093	
5	39	7	0.3873	C
5	40	12	0.7805	
5	41	863	0.8154	
5	42	707	0.8653	
5	43	683	0.9029	
5	44	894	0.8684	
5	45	9	0.6064	
5	46	647	0.8961	
5	47	908	0.9043	
5	48	1386	0.8523	
6	1	859	0.9003	
6	2	834	0.9522	
6	3	795	0.9326	
6	4	873	0.8918	
6	5	10	0.4971	C
6	6	10	0.411	C
6	7	784	0.6063	
6	8	805	0.8687	
6	9	655	0.9514	
6	10	632	0.9132	
6	11	802	0.9409	
6	12	684	0.9473	
6	13	755	0.9001	
6	14	757	0.9128	
6	15	735	0.8431	
6	16	689	0.885	
6	17	754	0.7378	
6	18	794	0.8866	
6	19	510	0.8165	
6	20	495	0.8798	
6	21	9	0.2856	C
6	22	21	0.6664	
6	23	807	0.8832	
6	24	621	0.8351	
6	25	889	0.8688	
6	26	837	0.8773	
6	27	863	0.9283	
6	28	907	0.9128	
6	29	86	0.8433	
6	30	66	1.0472	
6	31	806	0.7423	
6	32	778	0.8648	
6	33	14	0.8385	
6	34	14	0.8886	
6	35	527	0.7683	
6	36	537	0.78	
6	37	494	0.9191	
6	38	643	0.934	
6	39	10	0.9248	
6	40	16	0.6576	
6	41	907	0.9506	
6	42	697	0.9168	
6	43	571	0.8617	
6	44	984	0.9231	
6	45	126	0.9708	
6	46	19	1.0512	
6	47	1063	0.937	
6	48	1265	0.9173	
7	1	918	0.8917	
7	2	720	0.8825	
7	3	636	0.9475	
7	4	598	0.9433	
7	5	816	0.907	
7	6	836	0.8723	
7	7	499	0.8899	
7	8	614	0.9148	
7	9	718	0.8964	
7	10	744	0.949	
7	11	8	0.3288	C
7	12	8	0.6899	
7	13	6	0.4707	C
7	14	11	0.9762	
7	15	729	0.8269	
7	16	761	0.8592	
7	17	655	0.7846	
7	18	756	0.8415	
7	19	712	0.8859	
7	20	920	0.8077	
7	21	620	0.8367	
7	22	778	0.8358	
7	23	778	0.8883	
7	24	662	0.9516	
7	25	400	0.9341	
7	26	400	0.8991	
7	27	13	1.048	
7	28	15	1.0365	
7	29	12	0.5549	C
7	30	13	0.7192	
7	31	464	0.9124	
7	32	571	0.7284	
7	33	481	0.8529	
7	34	605	0.768	
7	35	744	0.6558	
7	36	748	0.8224	
7	37	805	0.885	
7	38	755	0.6617	
7	39	839	0.8849	
7	40	891	0.8874	
7	41	9	0.5712	C
7	42	17	0.6668	
7	43	658	0.9226	
7	44	732	0.9002	
7	45	234	0.9731	S
7	46	504	0.8835	
7	47	13	1.2022	
7	48	20	0.9942	
8	1	838	0.8878	
8	2	703	0.8353	
8	3	716	0.9353	
8	4	643	0.9291	
8	5	779	0.9036	
8	6	886	0.8518	
8	7	679	0.9131	
8	8	706	0.9006	
8	9	762	0.8839	
8	10	618	0.871	
8	11	10	0.9248	
8	12	8	0.7398	
8	13	9	0.539	C
8	14	12	0.528	C
8	15	800	0.5786	C
8	16	796	0.8987	
8	17	640	0.7569	
8	18	647	0.663	
8	19	878	0.7559	
8	20	848	0.6897	
8	21	747	0.8694	
8	22	743	0.8351	
8	23	782	0.9029	
8	24	903	0.8435	
8	25	341	0.7823	
8	26	341	0.8675	
8	27	18	0.5482	C
8	28	14	1.0297	
8	29	21	0.5109	C
8	30	19	0.7452	
8	31	533	0.7193	
8	32	586	0.6161	
8	33	618	0.8742	
8	34	489	0.8259	
8	35	727	0.8767	
8	36	889	0.9081	
8	37	798	0.8981	
8	38	764	0.9213	
8	39	910	0.8904	
8	40	730	0.8178	
8	41	18	0.8323	
8	42	19	0.6987	
8	43	933	0.9063	
8	44	808	0.8941	
8	45	647	0.9138	
8	46	1097	0.9317	
8	47	16	1.0407	
8	48	21	1.0765	
9	1	1102	0.9218	
9	2	892	0.9595	
9	3	586	0.9124	
9	4	639	0.9119	
9	5	184	0.9778	
9	6	203	0.9419	
9	7	384	0.8826	
9	8	413	0.8751	
9	9	585	0.899	
9	10	620	0.8379	
9	11	711	0.9287	
9	12	791	0.8265	
9	13	759	0.798	
9	14	808	0.7882	
9	15	554	0.8149	
9	16	493	0.6913	
9	17	749	0.7068	
9	18	678	0.7741	
9	19	267	0.8489	
9	20	270	0.9336	
9	21	709	0.942	
9	22	691	0.7081	
9	23	711	0.2437	C
9	24	656	0.9599	
9	25	664	0.8866	
9	26	793	0.9454	
9	27	791	0.8668	
9	28	719	0.834	
9	29	340	0.7185	
9	30	373	0.6911	
9	31	782	0.6695	
9	32	800	0.8052	
9	33	747	0.8863	
9	34	818	0.8924	
9	35	690	0.9167	
9	36	751	0.8983	
9	37	722	0.8677	
9	38	707	0.8333	
9	39	530	0.953	
9	40	663	0.9296	
9	41	750	0.9255	
9	42	723	0.8648	
9	43	11	0.6981	
9	44	12	0.6152	
9	45	788	0.8997	
9	46	1080	0.548	C
9	47	853	0.8714	
9	48	1198	0.9122	
10	1	1153	0.9515	
10	2	891	0.8655	
10	3	730	0.9535	
10	4	810	0.8808	
10	5	191	0.9364	
10	6	200	0.8606	
10	7	489	0.9098	
10	8	431	0.9332	
10	9	633	0.9195	
10	10	700	0.93	
10	11	753	0.8694	
10	12	771	0.8515	
10	13	807	0.8549	
10	14	722	0.7732	
10	15	594	0.7825	
10	16	547	0.7419	
10	17	785	0.863	
10	18	732	0.7501	
10	19	158	0.6283	
10	20	271	0.9017	
10	21	770	0.6894	
10	22	717	0.932	
10	23	660	0.7997	
10	24	582	0.9061	
10	25	747	0.8863	
10	26	776	0.886	
10	27	930	0.9034	
10	28	780	0.7021	
10	29	224	0.5351	C
10	30	302	0.5903	C
10	31	523	0.7463	
10	32	770	0.8722	
10	33	703	0.7226	
10	34	732	0.8827	
10	35	579	0.7921	
10	36	777	0.7635	
10	37	796	0.6551	
10	38	759	0.8345	
10	39	696	0.8732	
10	40	634	0.8513	
10	41	865	0.6785	
10	42	735	0.8526	
10	43	11	0.7411	
10	44	14	0.7925	
10	45	985	0.3849	C
10	46	876	0.8561	
10	47	726	0.9108	
10	48	908	0.8745	
11	1	726	0.9108	
11	2	641	0.8988	
11	3	10	0.4624	C
11	4	9	0.5712	C
11	5	810	0.9352	
11	6	935	0.8861	
11	7	11	0.4314	C
11	8	9	0.5712	C
11	9	10	0.9248	
11	10	10	0.8624	
11	11	545	0.9257	
11	12	616	0.7912	
11	13	667	0.8203	
11	14	624	0.8598	
11	15	488	0.7598	
11	16	439	0.7315	
11	17	663	0.6764	
11	18	618	0.7046	
11	19	478	0.8231	
11	20	479	0.7937	
11	21	841	0.8938	
11	22	738	0.9368	
11	23	640	0.8974	
11	24	670	0.9074	
11	25	645	0.8384	
11	26	586	0.9597	
11	27	581	0.8997	
11	28	666	0.6469	
11	29	715	0.6886	
11	30	785	0.6948	
11	31	686	0.7167	
11	32	687	0.7093	
11	33	352	0.9087	
11	34	420	0.882	
11	35	522	0.7877	
11	36	630	0.8241	
11	37	273	0.9012	
11	38	87	1.0979	
11	39	795	0.8332	
11	40	808	0.6985	
11	41	742	0.4976	C
11	42	788	0.6158	
11	43	834	0.8703	
11	44	723	0.9606	
11	45	845	0.5736	C
11	46	928	0.9203	
11	47	358	0.9044	
11	48	1207	0.5448	C
12	1	759	0.9006	
12	2	688	0.9528	
12	3	8	0.7398	
12	4	12	0.8826	
12	5	817	0.9371	
12	6	812	0.9526	
12	7	14	1.4354	
12	8	9	1.2128	
12	9	9	0.5712	C
12	10	15	0.7298	
12	11	599	0.8765	
12	12	675	0.8713	
12	13	558	0.7477	
12	14	485	0.8285	
12	15	455	0.5569	C
12	16	536	0.6538	
12	17	511	0.8597	
12	18	651	0.7516	
12	19	336	0.7355	
12	20	682	0.6455	
12	21	715	0.78	
12	22	891	0.9062	
12	23	782	0.6874	
12	24	645	0.7567	
12	25	650	0.8697	
12	26	518	0.7817	
12	27	584	0.9693	
12	28	708	0.8538	
12	29	741	0.8121	
12	30	685	0.6998	
12	31	831	0.7795	
12	32	677	0.7163	
12	33	310	0.6755	
12	34	466	0.9786	
12	35	541	0.9728	
12	36	642	0.9565	
